Last_Name_Match,First_Name_Match,DCPS_Student_ID_Match,Birthdate_Match,Match_Type,School_Number,School_Name,Grade_Level,Race_Desc,Gender_Code,FRL,Cumulative_GPA,Days_Enrolled,Days_Absent,Referrals,ISSP,OSSP,iReady_Math_BY,iReady_Math_MY,iReady_MAth_EY,iReady_ELA_BY,iReady_ELA_MY,iReady_ELA_EY,Achieve_BY,Achieve_MY,Achieve_EY,Math_Course_1,Math_Grade_1,Math_Course_2,Math_Grade_2,Math_Course_3,Math_Grade_3,Math_Course_4,Math_Grade_4,English_Course_1,English_Grade_1,English_Course_2,English_Grade_2,English_Course_3,English_Grade_3,English_Course_4,English_Grade_4,Science_Course_1,Science_Grade_1,Science_Course_2,Science_Grade_2,Science_Course_3,Science_Grade_3,AFL,After_School,AmeriCorps,BTS,Gear_Up,SEP
Abdullah,Ali,10000001,08/01/2111,ID,2621,ANDREW A ROBINSON ELEMENTARY SCHOOL,01,Black,M,No,,48,3,0,0,0,Below,Below,Below,Below,Below,Below,,,,MATH GRADE 1,S,,,,,,,LANG ARTS GRADE 1,S,,,,,,,,,,,,,No,Yes,No,No,No,No
Abdulsada,Noor,10000002,08/26/2115,ID,2111,SOUTHSIDE MIDDLE SCHOOL,07,White,F,No,,48,8,1,0,0,Below,Below,Below,,,,Below,Below,Below,MJ GRADE 7 MATH,B,,,,,,,MJ DE LA ESOL-READ,B,MJ LANG ARTS 2 ESOL,B,,,,,MJ COMPRE SCI 2,C,,,,,No,No,No,No,Yes,No
Abelard,Sergine,10000003,01/04/2116,ID,2131,ARLINGTON MIDDLE SCHOOL,06,Black,F,No,,48,1,0,0,0,Below,Early,Early,,,,,App Read,App Read,MJ GRADE 6 MATH,A,,,,,,,MJ LANG ARTS 1,A,,,,,,,MJ COMPRE SCI 1,A,,,,,No,Yes,No,No,No,No
Abernathy,Reanna,10000004,07/05/2117,ID,2051,PICKETT ELEMENTARY SCHOOL,05,Black,F,No,,48,4,1,0,1,Early,Early,Mid,Mid,Mid,Early,App Text,App Text,Meets,MATH GRADE 5,C,,,,,,,LANG ARTS GRADE 5,C,,,,,,,SCIENCE GRADE 5,A,,,,,No,Yes,No,No,No,No
Abistado,Kaylie,10000005,12/16/2111,ID,2801,FRANK H PETERSON ACADEMIES,11,Asian,F,No,2.57,48,8,0,0,0,,,,,,,Meets,App Read,Meets,ALG 2 HON,B,,,,,,,ENG 3,C,,,,,,,CHEM 1,C,,,,,No,No,No,No,No,Yes
Abraham,Karisma,10000006,08/06/2118,ID,0891,WOODLAND ACRES ELEMENTARY SCHL,03,Black,F,No,,48,7,0,0,0,Below,Early,Mid,Early,Early,Mid,App Read,App Text,Meets,MATH GRADE 3,A,,,,,,,LANG ARTS GRADE 3,A,,,,,,,SCIENCE GRADE 3,B,,,,,No,Yes,No,No,No,No
Absher,Alissa,10000007,06/08/2116,ID,2161,JEFFERSON DAVIS MIDDLE SCHOOL,06,White,F,No,,48,6,0,0,0,Below,Below,Below,,,,App Read,App Read,App Read,MJ GRADE 6 MATH,B,,,,,,,MJ LANG ARTS 1,B,,,,,,,MJ COMPRE SCI 1,B,,,,,Yes,No,No,No,No,No
Acevedo,Sophia,10000008,01/27/2114,ID,0661,ALFRED I DUPONT MIDDLE SCHOOL,07,Hispanic,F,No,,48,0,0,0,0,,,,,,,Exceeds,Exceeds,Exceeds,ALG 1 HON,A,,,,,,,MJ LANG ARTS 2 ADV,A,,,,,,,MJ COMPRE SCI 2 ADV,A,,,,,No,No,No,No,Yes,No
Ackley,Bailey,10000009,01/21/2112,ID,0861,TERRY PARKER HIGH SCHOOL,10,White,M,No,2.31,48,1,0,0,0,,,,,,,App Read,App Read,Meets,GEO,B,INTENS MATH,B,,,,,ENG 1,C,ENG 2,C,,,,,BIO 1,A,,,,,No,No,No,No,No,Yes
Ackley,Elizabeth,10000010,07/22/2113,ID,2131,ARLINGTON MIDDLE SCHOOL,08,White,F,No,,48,1,0,0,0,Below,Below,Below,,,,Below,Below,Below,MJ GRADE 8 PRE-ALG,C,,,,,,,MJ INTENS READ (MC),C,MJ LANG ARTS 3,B,,,,,MJ COMPRE SCI 3,C,,,,,Yes,No,No,No,No,Yes
Acosta,Kimberly,10000011,04/07/2116,ID,2191,JOSEPH STILWELL MIDDLE SCHOOL,06,Hispanic,F,No,,48,1,0,0,0,Mid,Mid,Late,,,,App Read,App Read,App Read,MJ GRADE 6 MATH ADV,C,,,,,,,MJ LANG ARTS 1 ADV,B,,,,,,,MJ COMPRE SCI 1 ADV,B,,,,,No,Yes,No,No,No,No
Acosta,Scarlett,10000012,02/02/2115,ID,2072,J E B STUART MIDDLE SCHOOL,08,Hispanic,F,No,,48,1,0,0,0,,,,,,,,Meets,,ALG 1 HON,A,,,,,,,MJ LANG ARTS 3,A,,,,,,,MJ COMPRE SCI 3,A,,,,,Yes,No,No,No,No,No
